full_name,birth_year,primary_position,dominant_foot,sweden_primary_shirt_number,sweden_all_shirt_numbers,clubs_clue_list,national_team_caps,national_team_goals,nt_start_year,nt_end_year
Hjalmar Ekdal,1998,Mittback,Höger,5,,Brommapojkarna|Hammarby IF|IK Sirius|Djurgårdens IF|Burnley|Groningen,11,0,2022,2025
Joel Andersson,1996,Högerback,Höger,2,,Västra Frölunda IF|BK Häcken|Midtjylland,9,0,2018,2022
Viktor Johansson,1998,Målvakt,Höger,12,,Hammarby IF|Aston Villa|Stoke City,12,0,2023,2025
Andreas Linde,1993,Målvakt,Höger,12,,Helsingborgs IF|IFK Värnamo|BK Häcken,1,0,2017,2017
Jacob Rinne,1993,Målvakt,Vänster,1,,BK Forward|Gent|AaB|Djurgårdens IF,3,0,2016,2019
Leopold Wahlstedt,1999,Målvakt,Höger,1,,Blackburn Rovers|Rosenborg,1,0,2023,2023
Mattias Johansson,1992,Högerback,Höger,13,,Kalmar FF|AZ|Panathinaikos|Gençlerbirliği|IFK Göteborg,8,1,2014,2021
Alexander Milošević,1992,Mittback,Höger,14,,Vasalunds IF|AIK|Hannover 96|Nottingham Forest,9,0,2013,2022
Christoffer Nyman,1992,Anfallare,Höger,9,,IFK Norrköping|IF Sylvia,11,2,2013,2023
Oscar Linnér,1997,Målvakt,Höger,12,,AIK|Brommapojkarna,1,0,2019,2019
Adam Andersson,1996,Vänsterback,Höger,15,,Västra Frölunda IF|BK Häcken|Rosenborg|Randers|Lyngby BK|AaB,4,0,2019,2020
Jonathan Augustinsson,1996,Vänsterback,Vänster,21,,Brommapojkarna|Djurgårdens IF|Rosenborg,1,0,2019,2019
Riccardo Gagliolo,1990,Vänsterback,Vänster,17,,Parma|AEK Larnaca,1,0,2019,2019
Filip Dagerstål,1997,Mittback,Höger,5,,IFK Norrköping|IF Sylvia|Lech Poznań,2,0,2017,2019
Kerim Mrabti,1994,Mittfältare,Höger,13,,IK Sirius|Djurgårdens IF|Birmingham City,3,0,2016,2018
